CONCAT_ID,PUMA,PWGTP,AGEP
2022GQ014815701,306,58,25
2022GQ014828101,302,79,19
2022GQ014841901,306,72,23
2022GQ014853801,305,12,82
2022GQ014860301,302,6,43
2022GQ014911801,200,19,6
2022GQ014931101,304,40,20
2022GQ014950201,303,80,97
2022GQ014953901,301,43,20
2022GQ014983901,100,111,21
2022GQ015004901,302,71,20
2022GQ015056301,304,37,78
2022GQ015061201,301,20,23
2022GQ015070801,302,70,26
2022GQ015073901,100,48,30
2022GQ015079901,305,26,81
2022GQ015091601,301,71,19
2022GQ015124901,306,12,39
2022GQ015136901,302,63,20
2022GQ015139301,308,25,79
2022GQ015191001,100,13,63
2022GQ015204501,301,88,33
2022GQ015265701,302,20,25
2022GQ015267701,100,16,91
2022GQ015285201,200,130,84
2022GQ015329601,302,20,38
2022GQ015379301,302,76,21
2022GQ015398401,306,63,21
2022GQ015413601,302,18,88
2022GQ015417401,200,9,84
2022GQ015448301,305,13,57
2022GQ015475701,305,15,47
2022GQ015515001,302,82,27
2022GQ015515101,301,15,27
2022GQ015545301,305,332,27
2022GQ015557301,302,289,65
2022GQ015558101,301,57,20
2022GQ015560501,305,99,57
2022GQ015566501,305,12,71
2022GQ015609801,308,120,59
2022GQ015610101,302,6,33
2022GQ015627801,305,36,76
2022GQ015636601,200,17,43
2022GQ015638601,302,1,21
2022GQ015660901,306,67,22
2022GQ015668001,302,27,39
2022GQ015693801,306,94,20
2022GQ015696801,303,5,97
2022GQ015706101,301,71,24
2022GQ015734601,302,13,21
2022GQ015746601,200,4,19
2022GQ015759901,306,22,19
2022GQ015765701,306,7,63
2022GQ015791901,306,67,24
2022GQ015864501,200,71,18
2022GQ015866301,200,14,9
2022GQ015888501,301,64,21
2022GQ015894301,301,47,22
2022GQ015916701,302,26,19
2022GQ015973801,308,17,66
2022GQ016029401,306,12,22
2022GQ016045801,301,20,29
2022GQ016073201,302,81,19
2022GQ016091601,100,33,69
2022GQ016113601,306,84,45
2022GQ016132101,301,82,28
2022GQ016139901,301,65,19
